,OID,osm_way_id,name,correct_name,aeroway,amenity,barrier,boundary,notes,building_type,building_classification ,building,craft,geological,historic,land_area,landuse,leisure,man_made,military,natural,office,place,shop,sport,tourism,other_tags,shape_Leng,shape_Area,poly_area,perimeter,CENTROID_X,CENTROID_Y,PNT_COUNT,MIN,MAX,Building_H,shape index,fractal dimensions ,height area,volume,perimeter index,Detour,Detour index
,-1,399994310,,,,,,,,Single-Unit Residential,Residential,yes,,,,,,,,,,,,,,,,52.20055908,170.2901097,170.2901097,52.20055908,497221.6983,7667145.221,5,-30.92000771,-25.1215992,5.798408508,0.306538995,3.262227698,0.03405017778,142241.2182,,,
,-1,399994311,,,,,,,,Garage,Residential,yes,,,,,,,,,,,,,,,,29.16472554,52.91758434,52.91758434,29.16472554,497403.8172,7667465.332,5,-21.80417061,-18.21417046,3.590000153,0.551134862,1.814437933,0.06784134607,24806.96771,,,
,-1,399994312,,,,,,,,Commercial,Commercial,yes,,,,,,,,,,,,,,,,32.22002583,59.79065168,59.79065168,32.22002583,496913.4747,7667342.248,5,-27.99560356,-25.65702248,2.338581085,0.5388806598,1.85569844,0.03911282148,33448.5775,,,
,-1,399994313,,,,,,,,Multi-Unit Residential,Residential,yes,,,,,,,,,,,,,,,,154.5073226,642.2153328,642.2153328,154.5073226,497397.3741,7667703.486,9,-22.06595993,-12.45350456,9.612455368,0.240584917,4.156536546,0.01496765162,3688478.023,,,
,-1,399996167,,"*tank, not a building",,,,,,Industrial,Industrial,no,,,,,,,storage_tank,,,,,,,,,38.16396709,114.3719668,114.3719668,38.16396709,496115.9284,7665855.663,17,-28.80082512,-25.12193489,3.678890228,0.3336828783,2.99685739,0.03216601349,55585.37477,,,
,-1,399996168,,"*tank, not a building",,,,,,Industrial,Industrial,no,,,,,,,storage_tank,,,,,,,,,37.3474609,109.5667571,109.5667571,37.3474609,496149.6118,7665871.318,17,-27.7805233,-25.20690918,2.57361412,0.3408648926,2.933713684,0.02348900513,52093.46479,,,
,-1,399996170,,airport building,,,,,,Commercial,Commercial,yes,,,,,,,,,,,,,,,,42.95676931,107.8391398,107.8391398,42.95676931,495348.5812,7666305.078,5,-15.41429234,-11.24690914,4.167383194,0.3983411718,2.510410851,0.03864444025,79267.44039,,,
,-1,399996171,,,,,,,,Garage,Commercial,yes,,,,,,,,,,,,,,,,32.4954362,65.85494941,65.85494941,32.4954362,495278.729,7666345.628,5,-13.97950459,-8.026683807,5.952820778,0.4934395438,2.026590719,0.09039291399,34313.66548,,,
,-1,399996172,,airport building,,,,,,Commercial,Commercial,yes,,,,,,,,,,,,,,,,67.61877535,281.9698571,281.9698571,67.61877535,495149.2439,7666314.486,5,-11.87270737,-7.188225746,4.684481621,0.2398085243,4.169993551,0.01661341275,309173.244,,,
,-1,399996173,,airport building,,,,,,Commercial,Commercial,yes,,,,,,,,,,,,,,,,79.0844033,371.585356,371.585356,79.0844033,495124.2846,7666338.469,5,-13.29457092,-5.4269104,7.867660522,0.2128297093,4.698592143,0.02117322547,494620.9719,,,
,-1,399996174,,airport building,,,,,,Commercial,Commercial,yes,,,,,,,,,,,,,,,,100.3042592,508.0441401,508.0441401,100.3042592,494993.2637,7665823.953,5,-33.44709778,-8.568361282,24.8787365,0.1974321743,5.065030579,0.04896963577,1009155.577,,,
,-1,399996175,,airport building,,,,,,Commercial,Commercial,yes,,,,,,,,,,,,,,,,142.9432189,1276.407965,1276.407965,142.9432189,495034.9279,7665791.305,5,-33.44709778,-3.449546099,29.99755168,0.111988661,8.929475456,0.0235015391,2920725.031,,,
,-1,399996176,,Cambridge Bay Airport,,,,,,Commercial,Commercial,yes,,,,,,,,,,,,,,,,101.1281235,600.3651144,600.3651144,101.1281235,495296.8647,7666341.16,5,-14.04350758,-5.977031231,8.066476345,0.1684443701,5.936678083,0.01343595114,1034226.94,,,
,-1,400015061,Power Plant,Diesel Power Plant,,,,,,Industrial,Industrial,yes,,,,,,,,,,,,,,,"generator:source""""=>""""diesel""""",64.73149944,253.0672447,253.0672447,64.73149944,497787.1072,7667313.069,5,-18.27562714,-14.68178654,3.593840599,0.2557877433,3.909491467,0.01420112904,271235.7941,,,
,-1,400034558,,,,,,,,Multi-Unit Residential,Residential,yes,,,,,,,,,,,,,,,,160.7957766,1061.44031,1061.44031,160.7957766,497336.129,7667283.516,5,-28.43081284,-23.48310089,4.947711945,0.1514882891,6.601170333,0.004661319055,4157420.114,,,
,-1,400034559,,,,,,,,Single-Unit Residential,Residential,yes,,,,,,,,,,,,,,,,45.36030571,127.1283099,127.1283099,45.36030571,497198.7665,7667162.829,5,-30.86215973,-26.65620232,4.205957413,0.356807274,2.802633446,0.03308434931,93331.42967,,,
,-1,400034560,,,,,,,,Single-Unit Residential,Residential,yes,,,,,,,,,,,,,,,,60.75936015,228.6949592,228.6949592,60.75936015,497181.5042,7667176.668,5,-31.85478401,-26.48626137,5.368522644,0.2656786156,3.763946141,0.02347459981,224305.3205,,,
,-1,400034561,,,,,,,,Single-Unit Residential,Residential,yes,,,,,,,,,,,,,,,,58.63552621,210.4456199,210.4456199,58.63552621,497164.2812,7667193.925,5,-31.89860153,-26.17479134,5.723810196,0.2786255483,3.589046325,0.02719852378,201596.2647,,,
,-1,400034562,,,,,,,,Single-Unit Residential,Residential,yes,,,,,,,,,,,,,,,,42.1907473,107.0631871,107.0631871,42.1907473,497133.4806,7667303.948,5,-28.96728325,-28.62398911,0.3432941437,0.3940733359,2.537598739,0.003206462958,75102.02611,,,
,-1,400034563,,,,,,,,Garage,Residential,yes,,,,,,,,,,,,,,,,28.65467847,50.78910737,50.78910737,28.65467847,497233.918,7667169.445,5,-27.9029789,-25.69208717,2.210891724,0.5641894485,1.772454275,0.04353082459,23528.08709,,,
,-1,400034564,,,,,,,,Single-Unit Residential,Residential,yes,,,,,,,,,,,,,,,,44.93463329,126.0726263,126.0726263,44.93463329,497370.1764,7667347.629,5,-24.84942627,-25.83158875,-0.9821624756,0.3564186343,2.805689444,-0.007790449875,90728.47376,,,
,-1,400034565,,,,,,,,Single-Unit Residential,Residential,yes,,,,,,,,,,,,,,,,65.73128212,222.3006517,222.3006517,65.73128212,497047.6498,7667257.582,7,-30.00338364,-26.27375603,3.729627609,0.2956864121,3.381961291,0.01677740294,283998.6728,,,
,-1,400034566,,,,,,,,Single-Unit Residential,Residential,yes,,,,,,,,,,,,,,,,50.72540925,151.8341308,151.8341308,50.72540925,497103.0312,7667274.755,5,-30.41994858,-28.69856262,1.721385956,0.3340843655,2.993255906,0.01133727935,130519.8839,,,
,-1,400034567,,Kitnuna 6-Plex,,,,,,Multi-Unit Residential,Residential,yes,,,,,,,,,,,,,,,,133.4216898,542.8301536,542.8301536,133.4216898,497266.0408,7667181.744,8,-28.3282547,-20.73251152,7.595743179,0.245789017,4.068530044,0.01399285417,2375085.841,,,
,-1,400038508,,*not a building,,,,,,Industrial,Industrial,no,,,,,,,tower,,,,,,,,"tower:type""""=>""""radar""""",32.94558742,85.58501721,85.58501721,32.94558742,495344.137,7667268.216,20,-3.343851805,4.762276649,8.106128454,0.3849457358,2.597768742,0.09471434041,35759.52706,,,
,-1,400038509,Radar,*not a building,,,,,,Industrial,Industrial,no,,,,,,,tower,,,,,,,,"tower:type""""=>""""radar""""",50.56450707,200.7875391,200.7875391,50.56450707,495274.4919,7667334.044,17,-0.7554228902,20.27137756,21.02680045,0.2518309019,3.970918551,0.1047216403,129281.7832,,,
,-1,400038510,,*not a building,,,,,,Industrial,Industrial,no,,,,,,,tower,,,,,,,,"tower:type""""=>""""radar""""",35.03184773,96.36592533,96.36592533,35.03184773,495319.4159,7667274.307,17,-1.501675963,5.585856915,7.087532878,0.3635294074,2.750809095,0.07354812247,42992.14693,,,
