osm_way_id,building_type,building_classification ,shape_Area,perimeter,CENTROID_X,CENTROID_Y,PNT_COUNT,Building_H,fractal_dimensions ,height_area,volume
510568143,Commercial,Commercial,3538.620582,232.7401977,497795.5752,7667565.185,17,10.91425419,15.20416592,0.003084325,12607070.94
510568144,Industrial,Industrial,119.3899961,43.52179714,497755.7757,7667545.691,10,3.984060287,2.743223028,0.033370135,82436.67393
510571183,Commercial,Commercial,446.7224842,92.18853251,497743.9892,7667453.9,9,5.489592552,4.845748946,0.012288597,783485.0344
510571184,Commercial,Commercial,122.4927228,46.45934418,497832.8845,7667510.903,5,1.573841095,2.636557295,0.012848446,100281.1314
510571185,Commercial,Commercial,128.7496031,45.8908705,497848.0292,7667501.228,5,1.735948563,2.805560271,0.013483137,96644.88814
510571186,Commercial,Commercial,393.0991384,79.48473192,497806.3363,7667448.156,5,7.558522224,4.945593058,0.019228031,502170.4364
510571187,Commercial,Commercial,141.4367854,48.20001039,497800.1972,7667422.083,5,0.806758881,2.934372508,0.005704024,111980.2404
510571191,Commercial,Commercial,656.3294899,119.0623227,497748.6157,7667178.041,5,9.318382263,5.512486863,0.01419772,1687808.043
510571192,Industrial,Industrial,510.8383224,90.55922262,497768.6767,7667266.302,5,7.530101776,5.640930958,0.014740675,742673.7216
510571193,Garage,Industrial,479.0708064,108.9083998,497760.663,7667231.122,5,5.697694778,4.398841661,0.011893221,1291766.838
510571194,Commercial,Commercial,773.6777218,115.9542562,497620.5139,7667212.239,5,4.251209259,6.672266692,0.005494806,1559050.144
510573528,Commercial,Commercial,130.1397313,48.96824818,499156.3045,7667418.606,7,5.291503906,2.657635022,0.040660172,117420.4398
510826507,Garage,Commercial,282.066897,67.19386565,497864.4858,7667350.717,5,5.69353199,4.19780726,0.020185041,303381.3504
510826508,Commercial,Commercial,321.2420876,75.03162087,497816.5038,7667360.077,5,2.718309402,4.281422737,0.008461872,422408.8272
510826511,Commercial,Commercial,375.5223921,94.91485434,497775.5211,7667375.533,9,6.769062042,3.9564133,0.018025721,855071.7467
510826512,Commercial,Commercial,488.7136977,88.64497626,497921.8151,7667393.64,5,4.668621063,5.513157297,0.009552875,696566.1793
510826513,Commercial,Commercial,264.6983057,71.65102392,497954.5208,7667377.06,7,4.024127007,3.694271082,0.015202693,367846.987
510826514,Single-Unit Residential,Residential,128.4423426,45.7545527,498012.9254,7667230.029,5,5.081430435,2.807203546,0.039561957,95786.19946
510847789,Multi-Unit Residential,Residential,224.3605726,59.91961248,497752.0613,7667398.264,5,1.408607483,3.744359539,0.00627832,215132.9774
510847790,Multi-Unit Residential,Residential,205.8334845,57.43638089,497731.2658,7667410.437,5,0.986000061,3.583677824,0.00479028,189479.0509
510847791,Multi-Unit Residential,Residential,306.904377,82.33836213,497690.8054,7667434.185,5,1.204072952,3.727355866,0.003923284,558221.6439
510847792,Single-Unit Residential,Residential,129.9469946,46.97588825,497659.4469,7667451.671,5,3.827590942,2.766248801,0.029455017,103663.2934
510847793,Commercial,Commercial,436.4447939,85.29242241,497651.696,7667410.32,8,6.969782829,5.117040665,0.015969449,620485.0859
510847794,Commercial,Commercial,434.43367,89.21267752,497682.4514,7667402.432,9,4.61815834,4.869640527,0.010630296,710034.9425
510847795,Unknown,Unknown,149.7921084,49.13422591,497707.7351,7667389.965,5,1.533792496,3.048630676,0.010239475,118618.4801
510847796,Commercial,Commercial,138.8032153,47.34042994,497728.1131,7667380.515,5,2.307107925,2.932022701,0.01662143,106095.4095
510847797,Multi-Unit Residential,Residential,274.9349419,82.88934739,497672.6856,7667510.052,9,4.627596855,3.31689114,0.016831607,569503.1899
510847798,Commercial,Commercial,261.9585569,81.62806852,497689.8786,7667476.786,9,4.816292763,3.209172551,0.018385705,543899.3767
510847799,Commercial,Commercial,263.1816771,76.05721121,497747.0359,7667492.36,9,0.621507645,3.460311953,0.002361516,439968.1024
510847800,Commercial,Commercial,258.7814542,88.59419922,497709.7296,7667514.111,15,0.643199921,2.920975149,0.002485495,695369.8573
510847801,Garage,Commercial,147.9770887,54.1117858,497683.6852,7667533.945,5,5.121315002,2.734655427,0.034608837,158443.928
